sample	Passed Filter	Low Quality	Too Many N	Too short
04AYA	60702882	0	0	0
45AYA	115402782	0	0	0
04CYA	42429944	0	0	0
04AYC	1282270	0	0	0
04ANA	150396710	0	0	0
45ANA	48630018	0	0	0
04ANB	128901560	0	0	0
45ANB	96296500	0	0	0
04ANC	133178130	0	0	0
45ANC	112347460	0	0	0
45AYB	147663458	0	0	0
45AYC	141417428	0	0	0
04CNA	170734054	0	0	0
45CNA	79311292	0	0	0
04AYB	91497642	0	0	0
45CYA	116355360	0	0	0
04CNB	71919808	0	0	0
45CNB	112153616	0	0	0
04CYB	41981610	0	0	0
45CYB	106435512	0	0	0
45CNC	132126198	0	0	0
04CYC	38316734	0	0	0
45CYC	75323218	0	0	0